 ,ITEM,TYPE,QTY,UOM,CALORIES,PROTEIN (g),CARBS (g),FAT (g),,,Last Modified:
2026-02-24,Homemade Bubble tea with Protein,Snack,1,Each,300,9,10,3,,,
2026-02-24,Bubble Tea,Snack,1,Each,650,10,30,5,,,
2026-02-24,Toronto Pho Padthai,Dinner,900,g,1200,78,210,10,,,
2026-02-24,Protein Bar,Snack,1,Each,140,10,15,4.5,,,
2026-02-24,Walk,Exercise,1,Miles,-100,,,,,,
2026-02-24,Eggs,Breakfast,2,Each,180,8,3,14,,,
2026-02-24,Medium Breakfast Sausage,Breakfast,2,Each,200,6,3,7,,,
2026-02-24,Banana Smoothie,Lunch,1,Each,400,25,28,17,,,
2026-02-23,Homemade Bubble tea with Protein,Snack,1,Each,300,9,10,3,,,
2026-02-23,Chocolate Protein Ice Cream,Snack,1,Each,357,45,12,12,,,
2026-02-23,Mr Sub Steak & Cheese,Dinner,1,Each,900,48,56,30,,,
2026-02-23,Cold Latte with syrup & Protein,Snack,1,Each,320,32,32,9,,,
2026-02-23,Protein Bar,Snack,1,Each,140,10,15,4.5,,,
2026-02-23,Walk,Exercise,1,Miles,-90,,,,,,
2026-02-23,Banana Smoothie,Lunch,1,Each,400,25,28,17,,,
2026-02-23,Medium Breakfast Sausage,Breakfast,2,Each,200,6,3,7,,,
2026-02-23,Eggs,Breakfast,2,Each,180,8,3,14,,,
2026-02-22,Bubble Tea,Snack,1,Each,650,10,30,5,,,
2026-02-22,Homemade Bubble tea with Protein,Snack,1,Each,300,9,10,3,,,
2026-02-22,Pita Pit XL Pita w/ extra chicken,Dinner,1,Each,1000,58,54,29,,,
2026-02-22,Tim Iced Capp,Snack,1,Each,420,2,49,23,,,
2026-02-22,Tim Iced Capp,Snack,1,Each,420,2,49,23,,,
2026-02-22,Tim Hortons Chicken Bacon Ranch Wrap,Lunch,1,Each,520,31,41,24,,,
2026-02-22,Medium Breakfast Sausage,Breakfast,2,Each,200,6,3,7,,,
2026-02-22,Eggs,Breakfast,2,Each,180,8,3,14,,,
2026-02-21,Bubble Tea,Snack,1,Each,650,10,30,5,,,
2026-02-21,Medium Pizza,Dinner,1,Each,1600,60,140,65,,,
2026-02-21,Banana Smoothie,Lunch,1,Each,400,25,28,17,,,
2026-02-21,Eggs,Breakfast,2,Each,180,8,3,14,,,
2026-02-21,Medium Breakfast Sausage,Breakfast,2,Each,200,6,3,7,,,
2026-02-20,Bubble Tea,Snack,1,Each,650,10,30,5,,,
2026-02-20,Bubble Tea,Snack,1,Each,650,10,30,5,,,
2026-02-20,Honey Twist Treats,Snack,10,Each,300,5,60,30,,,
2026-02-20,Mixed Veggies,Dinner,1,Each,300,12,60,2,,,
2026-02-20,General Tso Chicken,Dinner,750,g,1200,48,115,46,,,
2026-02-20,Banana Smoothie,Lunch,1,Each,400,25,28,17,,,
2026-02-20,Walk,Exercise,2,Miles,-250,,,,,,
2026-02-20,Walk,Exercise,1,Miles,-100,,,,,,
2026-02-20,Medium Breakfast Sausage,Breakfast,2,Each,200,6,3,7,,,
2026-02-20,Eggs,Breakfast,2,Each,180,8,3,14,,,
2026-02-18,Honey Twist Treats,Snack,10,Each,300,5,60,30,,,
2026-02-18,General Tso Chicken,Dinner,750,g,1200,48,115,46,,,
2026-02-18,Mixed Veggies,Dinner,1,Each,300,12,60,2,,,
2026-02-18,Honey Twist Treats,Snack,10,Each,300,5,60,30,,,
2026-02-18,Yogurt,Snack,1,Each,90,4,15,2,,,
2026-02-18,Walk,Exercise,1,Miles,-140,,,,,,
2026-02-18,Banana Smoothie,Lunch,1,Each,400,25,28,17,,,
2026-02-18,Eggs,Breakfast,2,Each,180,8,3,14,,,
2026-02-18,Medium Breakfast Sausage,Breakfast,2,Each,200,6,3,7,,,
2026-02-18,Walk,Exercise,1,Miles,-66,,,,,,
2026-02-18,Protein Bar,Snack,1,Each,140,10,15,4.5,,,
2026-02-18,Smoothie,Snack,1,Each,400,25,28,17,,,
2026-02-18,Pita Pit XL Pita w/ extra chicken,Dinner,1,Each,1000,58,54,29,,,
2026-02-18,Yogurt,Snack,1,Each,90,4,15,2,,,
2026-02-18,Banana Smoothie,Lunch,1,Each,400,25,28,17,,,
2026-02-18,Walk,Exercise,1,Miles,-110,,,,,,
2026-02-18,Medium Breakfast Sausage,Breakfast,2,Each,200,6,3,7,,,
2026-02-18,Eggs,Breakfast,2,Each,180,8,3,14,,,
2026-02-17,Walk,Exercise,1,Miles,-90,,,,,,
2026-02-17,Bubble Tea,Snack,1,Each,650,10,30,5,,,
2026-02-17,Bubble Tea,Snack,1,Each,650,10,30,5,,,
2026-02-17,Spring Grill House Chicken w/ Rice,Dinner,800,g,1000,30,66,33,,,
2026-02-17,Banana Smoothie,Breakfast,1,Each,400,25,28,17,,,
2026-02-17,"Jet Cafe Sausage, Eggs, Hashbrowns",Breakfast,1,Each,700,30,20,50,,,
2026-02-15,Taco Bell Crunchwrap Supreme,Dinner,1,Each,800,16,70,21,,,
2026-02-15,Taco Bell Cheesy Gordita Crunch,Dinner,1,Each,500,20,41,28,,,
2026-02-15,Taco Bell Cheesy Gordita Crunch,Dinner,1,Each,500,20,41,28,,,
2026-02-15,Walk,Exercise,2,Miles,-170,,,,,,
2026-02-15,Banana Smoothie,Breakfast,1,Each,400,25,28,17,,,
2026-02-15,Walk,Exercise,1,Miles,-75,,,,,,
2026-02-15,Eggs,Breakfast,2,Each,180,8,3,14,,,
2026-02-15,Medium Breakfast Sausage,Breakfast,2,Each,200,6,3,7,,,
2026-02-15,Bubble Tea,Snack,1,Each,650,10,30,5,,,
2026-02-15,Philly Cheese Steak,Dinner,1,Each,580,,,,,,
2026-02-15,Poutine,Dinner,1,Each,620,,,,,,
2026-02-15,Milkshake,Snack,1,Each,400,,,,,,
2026-02-15,Banana Smoothie,Breakfast,1,Each,400,25,28,17,,,
2026-02-15,Walk,Exercise,1,Miles,-100,,,,,,
2026-02-15,Medium Breakfast Sausage,Breakfast,2,Each,200,6,3,7,,,
2026-02-15,Eggs,Breakfast,2,Each,180,8,3,14,,,
2026-02-14,Toronto Pho Padthai,Dinner,900,g,1200,78,210,10,,,
2026-02-14,Bubble Tea,Snack,1,Each,650,10,30,5,,,
2026-02-14,Bubble Tea,Snack,1,Each,650,10,30,5,,,
2026-02-14,Walk,Exercise,1,Miles,-140,,,,,,
2026-02-14,Banana Smoothie,Breakfast,1,Each,400,25,28,17,,,
2026-02-14,Eggs,Breakfast,2,Each,180,8,3,14,,,
2026-02-14,Medium Breakfast Sausage,Breakfast,2,Each,200,6,3,7,,,
2026-02-13,Bubble Tea,Snack,1,Each,650,10,30,5,,,
2026-02-13,Burrito w/ Quesadilla,Dinner,1,Each,1550,76,134,56,,,
2026-02-13,Walk,Exercise,1,Miles,-85,,,,,,
2026-02-13,Banana Smoothie,Breakfast,1,Each,400,25,28,17,,,
2026-02-13,Walk,Exercise,1,Miles,-65,,,,,,
2026-02-13,Eggs,Breakfast,2,Each,180,8,3,14,,,
2026-02-13,Medium Breakfast Sausage,Breakfast,2,Each,200,6,3,7,,,
2026-02-12,Walk,Exercise,1,Miles,-140,,,,,,
2026-02-12,Pizza Slices,Dinner,2,Each,450,20,50,20,,,
2026-02-12,Bubble Tea,Breakfast,1,Each,350,,,,,,
2026-02-12,Fruit  Smoothie,Breakfast,1,Each,350,25,28,17,,,
2026-02-12,Pita Pit Gyro,Dinner,1,Each,880,32,66,32,,,
2026-02-12,Protein Bar,Snack,1,Each,140,10,15,4.5,,,
2026-02-12,Banana Smoothie,Breakfast,1,Each,400,25,28,17,,,
2026-02-12,Walk,Exercise,1,Miles,-100,,,,,,
2026-02-12,Medium Breakfast Sausage,Breakfast,2,Each,200,6,3,7,,,
2026-02-12,Eggs,Breakfast,2,Each,180,8,3,14,,,
2026-02-11,Bubble Tea,Snack,1,Each,650,10,30,5,,,
2026-02-11,Medium Pizza,Dinner,1,Each,1600,60,140,65,,,
2026-02-11,Banana Smoothie,Breakfast,1,Each,400,25,28,17,,,
2026-02-11,Protein Bar,Snack,1,Each,140,10,15,4.5,,,
2026-02-11,Eggs,Breakfast,2,Each,180,8,3,14,,,
2026-02-11,Medium Breakfast Sausage,Breakfast,2,Each,200,6,3,7,,,
2026-02-10,Bubble Tea,Snack,1,Each,650,10,30,5,,,
2026-02-10,Bubble Tea,Snack,1,Each,650,10,30,5,,,
2026-02-10,Toronto Pho Padthai,Dinner,900,g,1200,78,210,10,,,
2026-02-10,Yogurt w/ Protein,Snack,1,Each,140,22,5,6,,,
2026-02-10,Banana Smoothie,Breakfast,1,Each,400,25,28,17,,,
2026-02-10,Protein Bar,Snack,1,Each,140,10,15,4.5,,,
2026-02-10,Medium Breakfast Sausage,Breakfast,2,Each,200,6,3,7,,,
2026-02-10,Eggs,Breakfast,2,Each,180,8,3,14,,,
2026-02-09,Cheesecake Slice,Snack,1,Each,400,6,25,20,,,
2026-02-09,Mixed Veggies,Dinner,1,Each,100,12,60,2,,,
2026-02-09,Spring Grill House Chicken w/ Rice,Dinner,800,g,1000,30,66,33,,,
2026-02-09,Walk,Exercise,1,Miles,-118,,,,,,
2026-02-09,Protein Bar,Snack,1,Each,140,10,15,4.5,,,
2026-02-09,Banana Smoothie,Breakfast,1,Each,400,25,28,17,,,
2026-02-09,Walk,Exercise,1,Miles,-66,,,,,,
2026-02-09,Eggs,Breakfast,2,Each,180,8,3,14,,,
2026-02-09,Medium Breakfast Sausage,Breakfast,2,Each,200,6,3,7,,,
2026-02-08,Walk,Exercise,1,Miles,-140,,,,,,
2026-02-08,Homemade Bubble tea with Protein,Snack,1,Each,300,9,10,3,,,
2026-02-08,Taco Bell Cheesy Gordita Crunch,Dinner,1,Each,500,20,41,28,,,
2026-02-08,Taco Bell Cheesy Gordita Crunch,Dinner,1,Each,500,20,41,28,,,
2026-02-08,Taco Bell Crunchwrap Supreme,Dinner,1,Each,800,16,70,21,,,
2026-02-08,Banana Smoothie,Breakfast,1,Each,400,25,28,17,,,
2026-02-08,Protein Bar,Snack,1,Each,140,10,15,4.5,,,
2026-02-08,Walk,Exercise,1,Miles,-114,,,,,,
2026-02-08,Medium Breakfast Sausage,Breakfast,2,Each,200,6,3,7,,,
2026-02-08,Eggs,Breakfast,2,Each,180,8,3,14,,,
2026-02-07,Walk,Exercise,2,Miles,-170,,,,,,
2026-02-07,Milkshake,Snack,1,Each,400,,,,,,
2026-02-07,Bubble Tea,Snack,1,Each,650,10,30,5,,,
2026-02-07,Milkshake,Snack,1,Each,400,,,,,,
2026-02-07,Poutine,Dinner,1,Each,620,,,,,,
2026-02-07,Philly Cheese Steak,Dinner,1,Each,580,,,,,,
2026-02-07,Protein Bar,Snack,1,Each,140,10,15,4.5,,,
2026-02-07,Walk,Exercise,1,Miles,-150,,,,,,
2026-02-07,Eggs,Breakfast,2,Each,180,8,3,14,,,
2026-02-07,Medium Breakfast Sausage,Breakfast,2,Each,200,6,3,7,,,
2026-02-06,Walk,Exercise,1,Miles,-110,,,,,,
2026-02-06,Carrot Cake Slice,Snack,1,Each,500,10,50,25,,,
2026-02-06,Homemade Bubble tea with Protein,Snack,1,Each,200,9,10,3,,,
2026-02-06,Vanilla milkshake Medium,Snack,1,Each,650,10,50,25,,,
2026-02-06,Chicken Tenders with fries,Dinner,1,Each,1200,50,100,50,,,
2026-02-06,Walk,Exercise,1,Miles,-118,,,,,,
2026-02-06,Eggs,Lunch,2,Each,180,8,3,14,,,
2026-02-06,Medium Breakfast Sausage,Lunch,2,Each,200,6,3,7,,,
2026-02-06,Banana Smoothie,Breakfast,1,Each,400,25,28,17,,,
2026-02-05,Fruit Smoothie,Breakfast,1,Each,350,25,28,17,,,
2026-02-05,Walk,Exercise,1,Miles,-100,,,,,,
2026-02-05,Protein Bar,Snack,1,Each,140,10,15,4.5,,,
2026-02-05,Toronto Pho Padthai,Dinner,900,g,1200,78,210,10,,,
2026-02-05,Banana Smoothie,Breakfast,1,Each,400,25,28,17,,,
2026-02-05,Walk,Exercise,1,Miles,-108,,,,,,
2026-02-05,Medium Breakfast Sausage,Lunch,2,Each,200,6,3,7,,,
2026-02-05,Eggs,Lunch,2,Each,180,8,3,14,,,
2026-02-04,Walk,Exercise,1,Miles,-121,,,,,,
2026-02-04,Japanese CheeseCake,Snack,1,Serving,650,18,54,40,,,
2026-02-04,Fish & Chip,Dinner,1,Each,1400,,,,,,
2026-02-04,Walk,Exercise,1,Miles,-96,,,,,,
2026-02-04,Pepperette,Snack,1,Each,120,4,0,5,,,
2026-02-04,Protein Bar,Snack,1,Each,140,10,15,4.5,,,
2026-02-04,Eggs,Lunch,2,Each,180,8,3,14,,,
2026-02-04,Medium Breakfast Sausage,Lunch,2,Each,200,6,3,7,,,
2026-02-04,Walk,Exercise,1,Miles,-84,,,,,,
2026-02-04,Banana Smoothie,Breakfast,1,Each,400,25,28,17,,,
2026-02-03,Walk,Exercise,1,Miles,-160,,,,,,
2026-02-03,Philly Cheese Steak,Dinner,1,Each,580,,,,,,
2026-02-03,Poutine,Dinner,1,Each,620,,,,,,
2026-02-03,Milkshake,Snack,1,Each,400,,,,,,
2026-02-03,"Jet Cafe Sausage, Eggs, Hashbrowns",Breakfast,1,Each,700,30,20,50,,,
2026-02-03,Yogurt w/ Protein,Snack,1,Each,140,22,5,6,,,
2026-02-03,Banana Smoothie,Breakfast,1,Each,400,25,28,17,,,
2026-02-02,Walk,Exercise,1,Miles,-92,,,,,,
2026-02-02,Ice Cream w/ Waffle,Snack,1,Each,600,18,54,40,,,
2026-02-02,General Tso Chicken w/ Rice,Dinner,750,g,1400,48,115,46,,,
2026-02-02,Protein Bar,Snack,1,Each,140,10,15,4.5,,,
2026-02-02,Banana Smoothie,Breakfast,1,Each,400,25,28,17,,,
2026-02-02,Walk,Exercise,1,Miles,-72,,,,,,
2026-02-02,"Jet Cafe Sausage, Eggs, Hashbrowns",Breakfast,1,Each,700,30,20,50,,,
2026-02-01,Fruit Smoothie,Breakfast,1,Each,400,25,28,17,,,
2026-02-01,Banana Bread,Snack,1,Each,200,,,,,,
2026-02-01,Mr Sub Steak & Cheese,Dinner,1,Each,900,48,56,30,,,
